
228368,16597.40,65.42
229369,16528.50,65.54
230371,16459.95,65.66
231372,16256.41,66.02
232374,16189.26,66.14
233375,16055.98,66.39
234377,15924.05,66.63
235379,15793.45,66.87
236381,15600.00,67.23
237382,15536.16,67.35
238384,15472.64,67.47
239385,15346.53,67.71
240387,15221.67,67.95
241388,15159.70,68.07
242391,15036.67,68.31
243392,14914.84,68.55
244393,14794.19,68.79
245395,14674.70,69.03
246396,14556.35,69.27
247398,14439.14,69.51
248400,14323.04,69.75
249402,14208.04,69.99
250403,14150.94,70.11
251405,14037.56,70.35
252406,13925.23,70.59
253408,13869.46,70.71
254409,13758.70,70.95
255412,13703.70,71.07
256413,13594.47,71.31
257415,13540.23,71.43
258416,13432.49,71.67
259418,13379.00,71.79
260419,13325.74,71.91
261421,13272.73,72.03
262423,13167.42,72.27
263425,13115.12,72.39
264426,13011.24,72.64
265427,12959.64,72.76
266429,12908.28,72.88
267430,12857.14,73.00
268432,12755.56,73.24
269434,12705.10,73.36
270436,12604.86,73.60
271437,12505.49,73.84
272439,12456.14,73.96
273440,12358.08,74.20
274442,12309.37,74.32
275444,12212.58,74.56
276446,12116.63,74.81
277447,12068.97,74.93
278449,12021.51,75.05
279450,11974.25,75.17
280452,11927.20,75.29
281453,11880.34,75.41
282456,11833.69,75.53
283457,11787.23,75.65
284459,11694.91,75.89
285460,11694.91,75.89
286461,11649.05,76.02
287463,11557.89,76.26
288465,11467.50,76.50
289467,11467.50,76.50
290468,11377.87,76.74
291470,11333.33,76.87
292471,11288.98,76.99
293473,11244.81,77.11
294474,11157.02,77.35
295477,11026.69,77.72
296478,10983.61,77.84
297480,10940.70,77.96
